phrase,english,pinyin
捷運,metro,jié yùn
飛機,plane,fēi jī
機場,airport,jī cháng
火車,train,huǒ chē
火車站,train station,huǒ chē zhàn
巴士,bus,bā shì
公車站,bus station,gōng chē zhàn
計程車,taxi,jì chéng chē
旅館,hotel,lv̌ guǎn
銀行,bank,yín xíng
醫院,hospital,yī yuàn
郵局,post office,yóu jú
商店,shop,shāng diàn
超市,supermarket,chāo shì
辦公大樓,office building,bàn gōng dà lóu
公寓,apartment,gōng yù
學校,school,xué xiào
警察局,police station,jǐng chá jú
加油站,gas station,jiā yóu zhàn
餐廳,restaurant,cān tīng
公園,park,gōng yuán
圖書館,library,tú shū guǎn
