phrase,english,pinyin,comments
讓我將妳心兒摘下,Let me gently pluck your heart out,ràng wǒ jiāng nǐ xīnér zhāixià,this is just a concept to see how a song would print in flashcards
試著將它慢慢溶化,Try to let it slowly melt down,shìzhe jiāng tā mànmàn rónghuà,
看我在妳心中是否仍完美無暇,See if I'm in there still perfect and without a flaw,kàn wǒ zài nǐ xīnzhōng shì-fǒu réng wánměi wúxiá,
是否依然為我絲絲牽掛,See if you still think of me with longing (sīsī is just a noise), shì-fǒu yīrán wèiwǒ sīsī qiānguà,
依然愛我無法自拔,If you are still is unable to free yourself from loving me,yīrán ài wǒ wúfǎ zìbá,
心中是否有我未曾到過的地方啊,Are there still areas of your heart I've never been?,xīnzhōng shì-fǒu yǒu wǒ wèicéng dàoguo de dìfāng a,
那裡湖麵總是澄清,There the lake's surface is always clear,nàli húmiàn zǒngshì chéngqīng,
那裡空氣充滿寧靜,There the air is full of tranquility,nàli kōngqì chōngmǎn níngjìng,
雪白明月照在大地,Snow-white moonlight shines on the earth,xuěbái míngyuè zhào zài dàdì,
藏著妳不願提起的迴憶,Hiding memories of which you don't wish to recall,cáng zhe nǐ bù yuàn tíqǐ de huíyì,
妳說真心總是可以從頭,You say true love always can start over,nǐ shuō zhēnxīn zǒngshì kěyǐ cóngtóu,
真愛總是可以長久,True love always can last long,zhēnài zǒngshì kěyǐ chángjiǔ,
為何妳的眼神還有孤獨時的落寞,Why then do you still look at me with those lonely eyes?,wèihé nǐ de yǎnshén háiyǒu gūdú shí de luòmò,
是否我隻是妳一種寄託,Am I nothing but a kind of support/sustenance,shì-fǒu wǒ zhǐshì nǐ yī zhǒng jì tuō,
填滿妳感情的缺口,Filling up the space in your emotions?,tiánmǎn nǐ gǎnqíng de quēkǒu,
心中那片森林何時能讓我停留,When will you let me stay by those woods inside your heart?,xīnzhōng nà piàn sēnlín héshí néng ràng wǒ tíngliú,
藏著妳最深處的秘密,Hiding your deepest secret,cáng zhe nǐ zuì shēnchù de mìmì,
或許我，不該問,Perhaps I should not ask,"huòxǔ wǒ, bù gāi wèn",
讓妳平靜的心再起漣漪,Let your calm heart stir again,ràng nǐ píngjìng de xīn zàiqǐ liányī,
隻是愛妳的心超出了界限,But my love for you has surpassed the limits,zhǐshì ài nǐ de xīn chāochū le jièxiàn,
我想擁有妳所有一切,I want to own you completely,wǒ xiǎng yōngyǒu nǐ suǒyǒu yīqiè,
應該是，我不該問,"Indeed, I should not ask","yīnggāi shì, wǒ bù gāi wèn",
不該讓妳再將往事重提,I can't make you revisit past things again,bù gāi ràng nǐ zài jiāng wǎngshì chóngtí,
隻是心中枷鎖該如何纔能解脫,How am I able to escape the shackles binding my heart?,zhǐshì xīnzhōng jiāsuǒ gāi rúhé cáinéng jiětuō,
