phrase,english,pinyin,comments
不一定,not necessarily,bù yī dìng,This will remain here but also be available in other categories
定了,decided reserved,dìng le,
到底,"after all, finally, in the end",dào dǐ,
環境,environment,huán jìng,
下去,go down to,xià qù,
我來請,It's my treat,wǒ lái qǐng,
迴頭,"restart, turn back",húi tóu,
迴覆,Reply,húi fù,
重新,again,zhòng xīn,
碰,"collide, bump into",pèng,
碰頭,meet up,pèng tóu,
碰杯,clink glasses,pèng bēi,
討論,discuss,tǎo lùn,
用餐,dining,yòng cān,
約,make an appointment,yuē,
老是,always,lǎo shì,
開心輩子,have a happy life,kāi xīn bèi zǐ,
十分,very,shí fēn,
即時,"timely, immediate",jí shí,
得了,"obtained, picked up (for awards and colds)",dé le,
安排,arrange,ān pái,
報告,report,bào gào,
生活,life,shēng huó,
相當,quite,xiāng dāng,
滿意,satisfied,mǎn yì,
訂戶,subscriber,dìng hù,
根據,according to,gēn jù,
包括,including,bāo kuò,mainland
包颳,including,bāo guā,Taiwan
談,talk,tán,
複雜,complex,fù zá,
聊天,chat,liáo tiān,
購,"buy, purchase; hire",gòu,
評分,"score, rating",píng fēn,
批評,criticize,pī píng,
方便,convenient,fāng biàn,
清楚,clear,qīng chǔ,
月底,end of the month,yuè dǐ,
大傢,everyone,dà jiā,
迴答,"answer, reply",húi dá,
有用,useful,yǒu yòng,
自己,"self, on your own",zì jǐ,
怪,"strange, unusual, peculiar",guài,
特色,characteristics,tè sè,
騙子,scammer,piàn zǐ,
正麵,positive,zhèng miàn,
不大不小,trivial,bù dà bù xiǎo,
來不及,not enough time,lái bù jí,
看得見,visible,kàn dé jiàn,
城市,city,chéng shì,
還要,also want,huán yào,
順便,by the way,shùn biàn,
馬馬虎虎,so-so,mǎ mǎ hǔ hǔ,
差不多,almost,chà bù duō,
決定,decide,jué dìng,
弄錯,mistake,nòng cuò,
常常,frequently,cháng cháng,
容易,easy,róng yì,
閤適,suitable,gé shì,
真麼個,Really?,zhēn me gè,
反正,anyway,fǎn zhèng,
練習,practice,liàn xí,
聯繫,"contact, connect",lián xì,
挺好,pretty good,tǐng hǎo,
直接,direct,zhí jiē,
翻譯,translate,fān yì,
一塌糊塗,extremely bad,yī tā hú tú,
提到,mention,tí dào,
除了,besides,chú le,
出了,come out of,chū le,
到底出了,what on earth happened,dào dǐ chū le,
碰到過...,have encountered (followed by something),pèng dào guò ...,
這種事,this kind of thing,zhè zhǒng shì,
算,consider,suàn,
算了,never mind,suàn le,
問題,"question, problem",wèn tí,
邀請,invite,yāo qǐng,
例子,example,lì zǐ,
可能,possible,kě néng,
信用,credit,xìn yòng,
糟糕,"terrible, didn't go as planned",zāo gāo,
新來,newcomer,xīn lái,
特別,especially,tè bié,
一切,everything,yī qiē,
同一,identical,tóng yī,
受到,receive,shòu dào,
拷貝,copy,kǎo bèi,
轉發,Forward,zhuǎn fā,
存檔,"save, archive",cún dàng,
聯繫方式,Contact,lián xì fāng shì,
通知,"notification, notify",tōng zhī,
迴復,reply,húi fù,
打復,Reply,dǎ fù,
確認,confirm,què rèn,
接受,accept,jiē shòu,
謝絕,decline,xiè jué,
更新,update,gèng xīn,
交通,transportation,jiāo tōng,
丟了,lost,dīu le,
或者,or (__ 或者 __),huò zhě,
錢包,wallet,qián bāo,
有人,"someone, anyone",yǒu rén,
偷,"to steal, burglar, thief",tōu,
也許,maybe,yě xǔ,
碰到,encounter,pèng dào,
出現,appear,chū xiàn,
半路上,"on the way, halfway there",bàn lù shàng,
日曆,calendar,rì lì,
刷卡,swipe card,shuā qiǎ,
