phrase,english,pinyin,color,comments
成語,idiom,chéng yǔ,light-blue,
塞翁失馬，焉知非福,blessing in disguise,"sāi wēng shī mǎ, yān zhī fēi fú",green,
畫蛇添足,overdoing something; ruining by adding unnecessary details,huà shé tiān zú,pink,
井底之蛙,person with a narrow view of the world,jǐng dǐ zhī wā,yellow,
對牛彈琴,casting pearls before swine,dùi níu dàn qín,pink,
亡羊補牢,better late than never,wáng yáng bǔ láo,orange,
紙上談兵,armchair strategist; empty talk,zhǐ shàng tán bīng,teal,
刻舟求劍,clinging to rigid thinking,kè zhōu qíu jiàn,pink,
自相矛盾,self-contradictory,zì xiāng máo dùn,purple,
掩耳盜鈴,deceiving oneself,yǎn ěr dào líng,light-blue,
狐假虎威,bullying others by flaunting powerful connections,hú jiǎ hǔ wēi,cyan,
畫龍點睛,adding the finishing touch,huà lóng diǎn jīng,brown,
拔苗助長,ruining things by being too hasty,bá miáo zhù cháng,teal,
愚公移山,perseverance overcomes obstacles,yú gōng yí shān,teal,
盲人摸象,limited perspective,máng rén mō xiàng,red,
鷸蚌相爭，漁翁得利,third party benefits from others' conflict,"yù bàng xiāng zhēng, yú wēng dé lì",purple,
唇亡齒寒,interdependence,chún wáng chǐ hán,brown,
青出於藍,student surpasses the master,qīng chū yú lán,light-grey,
一箭雙雕,kill two birds with one stone,yī jiàn shuāng diāo,red,
滄海桑田,great changes over time,cāng hǎi sāng tián,brown,
破釜沉舟,determination to fight to the end,pò fǔ chén zhōu,dark-grey,
指鹿為馬,deliberate misrepresentation,zhǐ lù wèi mǎ,dark-blue,
