phrase,english,pinyin
# Verse 1,,,
如果沒有遇見你,If I had not met you,rúguǒ méiyǒu yùjiàn nǐ
我將會是在那裡,Where would I be?,wǒ jiāng huì shì zài nàlǐ
日子過的怎麼樣,"Life goes on, but how?",rìzǐguò de zěnme yàng
人生是否要珍惜,Would I cherish life?,rénshēng shìfǒu yào zhēnxī
也許認識某一人,Perhaps I'd know a certain someone,yěxǔ rènshí mǒu yī rén
過著平凡的日子,Living an ordinary life,guò zhe píngfán de rìzǐ
不知道會不會,I don't know if I'd still have…,bù zhīdào huì bù huì
也有愛情甜如蜜,…a love as sweet like honey,yěyǒu àiqíng tián rú mì
# Chorus,,,
任時光匆匆流去,Time may rush by,rèn shíguāng cōngcōng liú qù
我只在乎你,but I only care about you,wǒ zhǐ zàihū nǐ
心甘情願感染,I willingly let myself be infected by,xīngān qíngyuàn gǎnrǎn
你的氣息,your presence (breath),nǐ de qìxí
人生幾何能夠得到知己,how many true friends can one find in a lifetime,rénshēng jǐhé nénggòu dédào zhījǐ 
失去生命的力量也不可惜,even losing the strength of life wouldn't be a pity,shīqù shēngmìng de lìliàng yě bù kěxí 
所以我求求你,so I beg you,suǒyǐ wǒ qiú qiú nǐ
別讓我離開你,don't let me leave you,bié ràng wǒ líkāi nǐ 
除了你 我不能感到一絲絲情意,I can feel not a trace of affection besides you,chúliao nǐ wǒ bùnéng gǎndào yīsī sī qíngyì
# Verse 2,,,
如果有那麼一天,If one day,rúguǒ yǒu nàme yītiān
你說即將要離去,you say you're about to leave,nǐ shuō jíjiāng yào lí qù
我會迷失我自己,I will lose myself,wǒ huì míshī wǒ zìjǐ
走入無邊人海裡,wandering into the boundless sea of people,zǒu rù wúbiān rén hǎilǐ
不要什麼諾言,I don't need any promises,bùyào shénme nuòyán
只要天天在一起,Just being together every day,zhǐyào tiāntiān zài yīqǐ
我不能只依靠,I can't live on ,wǒ bùnéng zhǐ yīkào
片片回憶活下去,just fragments of memories,piàn piàn huíyì huó xiàqù
# Repeat Chorus x2,,,
