phrase,english
成語,idiom
塞翁失馬，焉知非福,blessing in disguise
畫蛇添足,overdoing something; ruining by adding unnecessary details
井底之蛙,person with a narrow view of the world
對牛彈琴,casting pearls before swine
亡羊補牢,better late than never
紙上談兵,armchair strategist; empty talk
刻舟求劍,clinging to rigid thinking
自相矛盾,self-contradictory
掩耳盜鈴,deceiving oneself
狐假虎威,bullying others by flaunting powerful connections
畫龍點睛,adding the finishing touch
拔苗助長,ruining things by being too hasty
愚公移山,perseverance overcomes obstacles
盲人摸象,limited perspective
鷸蚌相爭，漁翁得利,third party benefits from others' conflict
唇亡齒寒,interdependence
青出於藍,student surpasses the master
一箭雙雕,kill two birds with one stone
滄海桑田,great changes over time
破釜沉舟,determination to fight to the end
指鹿為馬,deliberate misrepresentation
