phrase,english,pinyin
越來越,more and more,yuè lái yuè
又...又...,this and that (adjectives),yòu ... yòu ...
"因為...,所以...","because...,so...","yīn wèi..., suǒ yǐ..."
noun1 比 noun2 adj,noun1 more adj than noun2,n1 bǐ n1 a
從...到...,from here to there,zǒu cóng zhè lǐ dào nà lǐ
我跑了一個小時的步,I ran for an hour,wǒ pǎo le yī gè xiǎo shí de bù
"如果...,就...","If..., then...","rú guǒ..., jìu..."
"雖然...,但是","Although...,but","sūi rán..., dàn shì"
在...裡,in (inside),zài...lǐ
在...外,outside (of),zài...wài
在...上,on (top of),zài...shàng
在...下,under (below),zài...xià
從...到,from...to,cóng...dào
遊泳遊得很快,Swim very fast,yóu yǒng yóu dé hěn kuài
