phrase,english,pinyin
# Verse,,,
妳說人生如夢,You say life is like a dream,nǐ shuō rénshēng rú mèng
我說人生如秀,I say life is like a show,wǒ shuō rénshēng rú xiù
那有什麼不同,What's the difference?,nà yǒu shé me bùtóng
不都一樣朦朧,Aren't they all equally hazy?,bù dōu yīyàng ménglóng
朦朧中有妳,You are hazy in my vision,ménglóng zhōng yǒu nǐ
有妳跟我就已經足夠,Having you with me is already enough,yǒu nǐ gēn wǒ jiù yǐjīng zúgòu
妳就在我的世界,You are my world,nǐ jiù zài wǒ de shìjiè
升起了彩虹,A rainbow rose (formed),shēng qǐle cǎihóng
# Chorus,,,
簡單愛妳心所愛,Simply love what you love,jiǎndān ài nǐ xīn suǒ ài
世界也變的大了起來,The world has (changed) become bigger,shìjiè yě biàn de dàle qǐlái
所有花都為妳開,All the flowers bloom (open) for you,suǒyǒu huā dōu wèi nǐ kāi
所有景物也為了妳安排,All the scenery was also arranged just for you,suǒyǒu jǐngwù yě wèile nǐ ānpái
我們是如此的不同,We are so different (in this way),wǒmen shì rúcǐ de bùtóng
肯定前世就已經深愛過,They definitely already loved deeply in a past life,kěndìng qiánshì jiù yǐjīng shēn àiguò
講好了這一輩子,We agreed (it's settled) on this for lifetime,jiǎng hǎole zhè yībèizǐ
再度重相逢,Reunited (again weighty meeting),zài dù zhòng xiāngféng
# Repeat,,,
