phrase,english,pinyin
同意,agree,tóng yì
隨便,I'm good with whatever,súi biàn
謝謝,thank you,xiè xiè
沒問題,no problem,méi wèn tí
走吧,let's go,zǒu ba
你好,hello,nǐ hǎo
再見,goodbye,zài jiàn
請,please,qǐng
對不起,sorry,dùi bù qǐ
沒關係,it's okay,méi guān xì
不好意思,"excuse me, sorry",bù hǎo yì sī
我不知道,I don't know,wǒ bù zhī dào
我懂了,I understand,wǒ dǒng le
我不懂,I don't understand,wǒ bù dǒng
可以嗎,is it okay?,kě yǐ ma
不可以,not allowed,bù kě yǐ
沒事,no worries,méi shì
沒錯,that's right,méi cuò
真的嗎,really?,zhēn de ma
怎麼了,what's wrong?,zěn me le
等等,wait a moment,děng děng
加油,keep going,jiā yóu
小心,be careful,xiǎo xīn
祝你好運,good luck,zhù nǐ hǎo yùn
沒時間,no time,méi shí jiān
我來了,I'm coming,wǒ lái le
快點,hurry up,kuài diǎn
慢慢來,take your time,màn màn lái
你在哪裡,where are you?,nǐ zài nǎ lǐ
我在這裡,I'm here,wǒ zài zhè lǐ
你叫什麼名字,what's your name?,nǐ jiào shí me míng zì
請問,excuse me (to ask a question),qǐng wèn
我喜歡,I like it,wǒ xǐ huān
我不喜歡,I don't like it,wǒ bù xǐ huān
我餓了,I'm hungry,wǒ è le
我纍了,I'm tired,wǒ léi le
