phrase,english,pinyin,color,comments
弱,weak,ruò,light-grey,
強,strong,qiáng,brown,
醜,ugly,chǒu,brown,
笨,stupid,bèn,orange,
舊,old,jìu,grey,
壞,bad,huài,grey,
安靜,quiet,ān jìng,light-blue,
吵,noisy,chǎo,red,
危險,dangerous,wēi xiǎn,red,
安全,safe,ān quán,dark-blue,
有趣,interesting,yǒu qù,teal,
無聊,boring,wú liáo,grey,
重,heavy,zhòng,brown,
輕,light,qīng,yellow,
深,deep,shēn,dark-blue,
深刻,profound,shēn kè,dark-red,
淺,shallow,qiǎn,light-blue,
複雜,complex,fù zá,teal,
簡單,simple,jiǎn dān,white,
睏難,difficult,kùn nán,black,
重要,important,zhòng yào,black,
特別,special,tè bié,hot-pink,
普遍,common,pǔ biàn,grey,
明顯,obvious,míng xiǎn,yellow,
隱藏,hidden,yǐn cáng,white,
詳細,detailed,xiáng xì,black,
模糊,vague,mó hú,dark-grey,
有壓力,stressful,yǒu yā lì,orange,
骯髒,dirty,āng zāng,brown,
乾淨,clean,gān jìng,light-blue,
