phrase,english,pinyin,color,comments
不一定,not necessarily,bù yī dìng,grey,This will remain here but also be available in other categories
定了,decided reserved,dìng le,black,
到底,"after all, finally, in the end",dào dǐ,green,
環境,environment,huán jìng,brown,
下去,go down to,xià qù,light-blue,
我來請,It's my treat,wǒ lái qǐng,dark-red,
回頭,"restart, turn back",húi tóu,dark-grey,
回覆,Reply,húi fù,cyan,
重新,again,zhòng xīn,black,
碰,"collide, bump into",pèng,brown,
碰頭,meet up,pèng tóu,blue,
碰杯,clink glasses,pèng bēi,dark-blue,
討論,discuss,tǎo lùn,purple,
用餐,dining,yòng cān,grey,
約,make an appointment,yuē,green,
老是,always,lǎo shì,pink,
開心輩子,have a happy life,kāi xīn bèi zǐ,green,
十分,very,shí fēn,dark-red,
即時,"timely, immediate",jí shí,dark-blue,
得了,"obtained, picked up (for awards and colds)",dé le,blue,
安排,arrange,ān pái,lime,
報告,report,bào gào,brown,
生活,life,shēng huó,orange,
相當,quite,xiāng dāng,dark-red,
滿意,satisfied,mǎn yì,light-grey,
訂戶,subscriber,dìng hù,teal,
根據,according to,gēn jù,pink,
包括,including,bāo kuò,purple,
包颳,including,bāo guā,dark-blue,
談,talk,tán,white,
複雜,complex,fù zá,blue,
聊天,chat,liáo tiān,dark-red,
購,"buy, purchase; hire",gòu,teal,
評分,"score, rating",píng fēn,light-blue,
批評,criticize,pī píng,grey,
方便,convenient,fāng biàn,white,
清楚,clear,qīng chǔ,yellow,
月底,end of the month,yuè dǐ,hot-pink,
大傢,everyone,dà jiā,cyan,
回答,"answer, reply",húi dá,dark-blue,
有用,useful,yǒu yòng,dark-blue,
自己,"self, on your own",zì jǐ,brown,
怪,"strange, unusual, peculiar",guài,black,
特色,characteristics,tè sè,cyan,
騙子,scammer,piàn zǐ,light-grey,
正麵,positive,zhèng miàn,brown,
不大不小,trivial,bù dà bù xiǎo,white,
來不及,not enough time,lái bù jí,dark-red,
看得見,visible,kàn dé jiàn,dark-grey,
城市,city,chéng shì,red,
還要,also want,huán yào,red,
順便,by the way,shùn biàn,white,
馬馬虎虎,so-so,mǎ mǎ hǔ hǔ,cyan,
差不多,almost,chà bù duō,orange,
決定,decide,jué dìng,yellow,
弄錯,mistake,nòng cuò,grey,
常常,frequently,cháng cháng,grey,
容易,easy,róng yì,red,
閤適,suitable,gé shì,hot-pink,
真麼個,Really?,zhēn me gè,dark-blue,
反正,anyway,fǎn zhèng,dark-red,
練習,practice,liàn xí,dark-red,
聯繫,"contact, connect",lián xì,red,
挺好,pretty good,tǐng hǎo,purple,
直接,direct,zhí jiē,brown,
翻譯,translate,fān yì,pink,
一塌糊塗,extremely bad,yī tā hú tú,green,
提到,mention,tí dào,green,
除了,besides,chú le,light-blue,
出了,come out of,chū le,light-blue,
到底出了,what on earth happened,dào dǐ chū le,dark-red,
碰到過...,have encountered (followed by something),pèng dào guò ...,hot-pink,
這種事,this kind of thing,zhè zhǒng shì,black,
算,consider,suàn,light-grey,
算了,never mind,suàn le,blue,
問題,"question, problem",wèn tí,orange,
邀請,invite,yāo qǐng,yellow,
例子,example,lì zǐ,cyan,
可能,possible,kě néng,teal,
信用,credit,xìn yòng,lime,
糟糕,"terrible, didn't go as planned",zāo gāo,light-grey,
新來,newcomer,xīn lái,grey,
特別,especially,tè bié,dark-grey,
一切,everything,yī qiē,pink,
同一,identical,tóng yī,orange,
受到,receive,shòu dào,dark-blue,
拷貝,copy,kǎo bèi,green,
轉發,Forward,zhuǎn fā,yellow,
存檔,"save, archive",cún dàng,purple,
聯繫方式,Contact,lián xì fāng shì,light-blue,
通知,"notification, notify",tōng zhī,blue,
回復,reply,húi fù,dark-blue,
打復,Reply,dǎ fù,green,
確認,confirm,què rèn,dark-blue,
接受,accept,jiē shòu,dark-blue,
謝絕,decline,xiè jué,orange,
更新,update,gèng xīn,dark-grey,
交通,transportation,jiāo tōng,light-blue,
丟了,lost,dīu le,light-grey,
或者,or (__ 或者 __),huò zhě,pink,
錢包,wallet,qián bāo,orange,
有人,"someone, anyone",yǒu rén,black,
偷,"to steal, burglar, thief",tōu,red,
也許,maybe,yě xǔ,light-blue,
碰到,encounter,pèng dào,dark-blue,
出現,appear,chū xiàn,brown,
半路上,"on the way, halfway there",bàn lù shàng,dark-grey,
日曆,calendar,rì lì,hot-pink,
刷卡,swipe card,shuā qiǎ,blue,
