phrase,english,pinyin
在家裡,at home,zài jiā lǐ
在學校裡,at school,zài xué xiào lǐ
在房間外,outside the room,zài fáng jiān wài
在桌子上,on the table,zài zhuō zi shàng
在椅子下,under the chair,zài yǐ zi xià
在門前,in front of the door,zài mén qián
在車裡,in the car,zài chē lǐ
在樹旁邊,beside the tree,zài shù páng biān
在牆後面,behind the wall,zài qiáng hòu miàn
在書包裡,in the schoolbag,zài shū bāo lǐ
在窗戶旁,next to the window,zài chuāng hu páng
在床上,on the bed,zài chuáng shàng
在地上,on the ground,zài dì shàng
在公園裡,in the park,zài gōng yuán lǐ
在圖書館裡,in the library,zài tú shū guǎn lǐ
